,summary_ch-0_quantile-0.9,summary_ch-0_quantile-0.5,summary_ch-0_quantile-0.1,summary_ch-0_mean,summary_ch-0_std,summary_ch-1_quantile-0.9,summary_ch-1_quantile-0.5,summary_ch-1_quantile-0.1,summary_ch-1_mean,summary_ch-1_std,summary_ch-2_quantile-0.9,summary_ch-2_quantile-0.5,summary_ch-2_quantile-0.1,summary_ch-2_mean,summary_ch-2_std
542,0.9098039269447327,0.8941176533699036,0.8784313797950745,0.8936108,0.0151554495,0.9098039269447327,0.8941176533699036,0.8823529481887817,0.8944291,0.01447998,0.9098039269447327,0.8941176533699036,0.8823529481887817,0.8950411,0.013882263
647,0.9529411792755127,0.929411768913269,0.8784313797950745,0.91217196,0.07396194,0.9450980424880981,0.8745098114013672,0.7921568751335144,0.8631959,0.091622986,0.9529411792755127,0.9176470637321472,0.8666666746139526,0.90595144,0.06005353
648,0.9490196108818054,0.9215686321258545,0.8705882430076599,0.9049027,0.06963762,0.9137254953384399,0.8549019694328308,0.7764706015586853,0.8418074,0.08352287,0.9372549057006836,0.9058823585510254,0.8588235378265381,0.8964242,0.055015992
649,0.9411764740943909,0.9019607901573181,0.8117647171020508,0.8806819,0.085657,0.8901960849761963,0.8156862854957581,0.6901960968971252,0.7968112,0.099546485,0.929411768913269,0.8901960849761963,0.8196078538894653,0.8753306,0.0644135
650,0.9372549057006836,0.8980392217636108,0.7764706015586853,0.87182647,0.091036834,0.8784313797950745,0.8078431487083435,0.6509804129600525,0.78083396,0.1057517,0.9254902005195618,0.886274516582489,0.7921568751335144,0.86717457,0.067321785
651,0.9372549057006836,0.9058823585510254,0.8039215803146362,0.88202333,0.08447668,0.886274516582489,0.8274509906768799,0.6956862926483176,0.80231196,0.096957944,0.9254902005195618,0.8941176533699036,0.8196078538894653,0.87843573,0.062399168
652,0.9450980424880981,0.9098039269447327,0.8156862854957581,0.88667685,0.08745824,0.9019607901573181,0.8313725590705872,0.7019608020782471,0.80996126,0.10291641,0.9333333373069763,0.8980392217636108,0.8274509906768799,0.8823632,0.06563316
653,0.95686274766922,0.9215686321258545,0.8470588326454163,0.9013592,0.07908512,0.9411764740943909,0.8509804010391235,0.7372549176216125,0.8351895,0.100173,0.9529411792755127,0.9058823585510254,0.8470588326454163,0.8959283,0.06189128
731,0.95686274766922,0.8784313797950745,0.7450980544090271,0.8640608,0.08468331,0.95686274766922,0.8745098114013672,0.7490196228027344,0.86378163,0.08243084,0.95686274766922,0.8784313797950745,0.7607843279838562,0.8682885,0.07853217
778,0.9333333373069763,0.9215686321258545,0.8352941274642944,0.89796,0.06553446,0.929411768913269,0.9137254953384399,0.729411780834198,0.86998856,0.100391045,0.9372549057006836,0.9254902005195618,0.8235294222831726,0.899169,0.06102361
779,0.9372549057006836,0.9137254953384399,0.8313725590705872,0.8921083,0.0637783,0.9254902005195618,0.8823529481887817,0.7176470756530762,0.84542906,0.09815436,0.9372549057006836,0.9098039269447327,0.8196078538894653,0.88938576,0.059641823
780,0.9215686321258545,0.8941176533699036,0.8196078538894653,0.8717452,0.08320543,0.8666666746139526,0.8078431487083435,0.7137255072593689,0.7907991,0.0918643,0.9098039269447327,0.8784313797950745,0.8196078538894653,0.86491376,0.06373955
781,0.9254902005195618,0.8941176533699036,0.8039215803146362,0.87132484,0.0867855,0.8588235378265381,0.8039215803146362,0.6823529601097107,0.7811545,0.09598229,0.9137254953384399,0.8823529481887817,0.8117647171020508,0.8657514,0.0641911
782,0.9215686321258545,0.886274516582489,0.7843137383460999,0.8578421,0.09798298,0.8588235378265381,0.7882353067398071,0.6549019813537598,0.7627624,0.10968302,0.9098039269447327,0.8745098114013672,0.800000011920929,0.855725,0.07263554
783,0.9058823585510254,0.8588235378265381,0.6745098233222961,0.8239619,0.11250705,0.8156862854957581,0.7333333492279053,0.5333333611488342,0.70419765,0.119583644,0.8901960849761963,0.8509804010391235,0.7254902124404907,0.82644296,0.08120705
784,0.9058823585510254,0.8588235378265381,0.7254902124404907,0.83234346,0.096453235,0.8156862854957581,0.7333333492279053,0.5764706134796143,0.71169376,0.10647386,0.8941176533699036,0.8509804010391235,0.7568627595901489,0.83314776,0.06926262
785,0.9098039269447327,0.8705882430076599,0.7568627595901489,0.844014,0.09139808,0.8274509906768799,0.7529411911964417,0.6117647290229797,0.7319844,0.103126906,0.8980392217636108,0.8588235378265381,0.7764706015586853,0.84355974,0.066391364
786,0.9176470637321472,0.8745098114013672,0.7333333492279053,0.8461387,0.09950645,0.8470588326454163,0.7647058963775635,0.6039215922355652,0.7422547,0.11041685,0.9058823585510254,0.8666666746139526,0.7686274647712708,0.8476343,0.071943276
787,0.9254902005195618,0.886274516582489,0.7921568751335144,0.8654921,0.08429813,0.8627451062202454,0.7843137383460999,0.6666666865348816,0.76895577,0.09738064,0.9176470637321472,0.8745098114013672,0.8078431487083435,0.8633565,0.061503503
788,0.9450980424880981,0.8980392217636108,0.8039215803146362,0.8752298,0.090711914,0.9098039269447327,0.8078431487083435,0.6784313917160034,0.7919768,0.1120097,0.9372549057006836,0.886274516582489,0.8117647171020508,0.8729433,0.07002922
789,0.95686274766922,0.9176470637321472,0.8156862854957581,0.89298457,0.09191838,0.9529411792755127,0.8509804010391235,0.6901960968971252,0.83284324,0.12608825,0.95686274766922,0.9058823585510254,0.8156862854957581,0.89198536,0.075859085
866,0.9490196108818054,0.8235294222831726,0.7764706015586853,0.8372256,0.07358241,0.9254902005195618,0.8117647171020508,0.7176470756530762,0.8108508,0.08669663,0.9333333373069763,0.8235294222831726,0.772549033164978,0.8363273,0.065190904
869,0.95686274766922,0.9333333373069763,0.8588235378265381,0.91222143,0.07187723,0.9490196108818054,0.8823529481887817,0.7215686440467834,0.8519962,0.106926225,0.9529411792755127,0.9215686321258545,0.8392156958580017,0.90481746,0.06101579
